rank,influencer,category,followers,likes,comments,sentiment_score,sentiment_score
85,amanda.paul,fashion,2166,1049,757,0.6776516631869977,0.6776516631869977
86,angeliquefiske,travel,1280,1021,1049,0.5352320073059014,0.5352320073059014
87,coconutbrii,travel,2182,973,491,0.6074985782233772,0.6074985782233772
88,denisewehbehook,family,1175,337,347,0.669794765516094,0.669794765516094
89,dineoutdiaries,food,4006,423,312,0.5994779761686171,0.5994779761686171
90,aynur_zweiuhr,travel,1545,759,435,0.6226955210598276,0.6226955210598276
91,daniellalassas,fashion,1096,859,659,0.7035077970465672,0.7035077970465672
92,briangregan89,fitness,2602,686,608,0.6855474435561477,0.6855474435561477
93,ambahparkahphoto,fashion,1465,1154,613,0.6681729237569755,0.6681729237569755
94,caitlinryanharper,fashion,2337,1991,633,0.5572444932633047,0.5572444932633047
95,cutieclose,family,1364,940,705,0.7237270684340855,0.7237270684340855
96,carolineregan,travel,1085,972,832,0.4766679220606741,0.4766679220606741
97,alexis_howell,family,2119,808,781,0.5178836571764462,0.5178836571764462
98,b_asmar,other,1073,824,718,0.6615311118941063,0.6615311118941063
99,allisoncdurham,family,1156,809,439,0.6365924278008664,0.6365924278008664
100,cindaylammy,fashion,1336,503,546,0.7030498184814873,0.7030498184814873
101,ashleydufour,family,1393,1037,315,0.49617301180031176,0.49617301180031176
102,azvleticia,fashion,2806,1283,293,0.4696295717488215,0.4696295717488215
103,exploretheyummies,food,2732,593,777,0.6740517225646536,0.6740517225646536
104,andrena_grant,travel,1222,2431,580,0.3332941105801796,0.3332941105801796
105,experimentalvalentine,travel,2053,719,744,0.5594408441314618,0.5594408441314618
106,absterr7,fashion,1548,1875,979,0.7266775603170936,0.7266775603170936
107,amandapaige122,fashion,1884,1426,1622,0.5716805071236086,0.5716805071236086
108,dihickmanyoga,food,1184,809,738,0.6064989311090414,0.6064989311090414
109,almn3ee,fitness,2019,217,858,0.6280722229857184,0.6280722229857184
110,_maylen__,fashion,1890,941,393,0.5431804786126677,0.5431804786126677
111,alissabowman,fashion,2753,1061,499,0.6728904567304925,0.6728904567304925
112,aufwolkejuli,fashion,1494,1459,438,0.6287460410238839,0.6287460410238839
113,aamandaelisabet,fitness,1864,943,362,0.6197037600408171,0.6197037600408171
114,bloom_mads,family,1845,1561,409,0.5599757197027885,0.5599757197027885
115,ang.reeves,family,1221,1043,683,0.5705490306518416,0.5705490306518416
116,eli_and_fabi_on_the_road,travel,1123,992,569,0.6731462282294413,0.6731462282294413
117,chloeverard,family,6664,615,405,0.6792967116190282,0.6792967116190282
118,edenspleen,fashion,1616,1341,292,0.709399638554006,0.709399638554006
119,ausxc,other,1083,196,382,0.6098421455730694,0.6098421455730694
120,fatal.tides,fashion,1919,1004,1277,0.5533527966020123,0.5533527966020123
121,eleocordella,travel,1658,356,584,0.6081696316999509,0.6081696316999509
122,cfsustin,other,1155,1338,466,0.561282414088292,0.561282414088292
123,elyseneilerman,travel,1066,1059,830,0.4997440701833292,0.4997440701833292
124,cityhaley,fashion,1465,686,310,0.5152624798548644,0.5152624798548644
125,dariony,travel,1310,998,593,0.6655581647474361,0.6655581647474361
126,amandafranxes,travel,1285,698,1034,0.6740804516800292,0.6740804516800292
127,_allesschwarz,fashion,1202,610,280,0.5805735891772604,0.5805735891772604
128,ameer_mango,fashion,1934,1642,674,0.5687555679081827,0.5687555679081827
129,aphrodite_cj,fashion,2070,439,732,0.6803805991302357,0.6803805991302357
130,evynredar,fashion,4555,640,336,0.3956620702632403,0.3956620702632403
131,dashaneith,fashion,9017,1949,326,0.7543921155875707,0.7543921155875707
132,daniela.beresova,fashion,1297,465,314,0.5612957301024345,0.5612957301024345
133,em_cullum,fashion,1120,869,394,0.7056796616143571,0.7056796616143571
134,bb.mels,fashion,4212,300,577,0.6876713410645998,0.6876713410645998
135,deliafiscu,family,2294,308,919,0.7163339339871806,0.7163339339871806
136,flaviamalvim,fashion,1048,550,1183,0.418544935153954,0.418544935153954
137,anywayani,food,1984,328,289,0.7813025637420835,0.7813025637420835
138,classiccarlos,other,1018,966,939,0.4924006821686004,0.4924006821686004
139,ervincaldwell,travel,1239,1245,1301,0.5927105902018817,0.5927105902018817
140,flipeye_,other,1178,906,518,0.3658800338902934,0.3658800338902934
141,algo_pasa_con_mery,fashion,6927,1033,327,0.8035729822720069,0.8035729822720069
142,ave.moore,fashion,3019,986,835,0.6191110774940675,0.6191110774940675
143,brittneyb_howell,travel,1457,985,450,0.6396865663854335,0.6396865663854335
144,cristiane_ross,travel,2275,1078,588,0.7361798085321927,0.7361798085321927
145,chelsea10166,travel,2019,816,362,0.5407707585774109,0.5407707585774109
146,ellaswansonn,fashion,3454,1008,321,0.6776673947694003,0.6776673947694003
147,dihn_aloood,travel,3394,470,1007,0.7444859814566278,0.7444859814566278
148,eli.grm,family,1406,861,738,0.48593732602869155,0.48593732602869155
149,ellenstubner,fashion,3014,651,433,0.5957560096747888,0.5957560096747888
150,caragill,fashion,4385,978,288,0.5923202102114075,0.5923202102114075
151,abuhse,travel,1490,1708,483,0.6834072506246897,0.6834072506246897
152,cecicalvog,fashion,1498,642,768,0.6177396761929245,0.6177396761929245
153,adudewithfoodny,food,2555,934,271,0.6640186068552272,0.6640186068552272
154,abbiethevizsla,pet,1458,524,719,0.5463683959023041,0.5463683959023041
155,ashleyagodfrey,fashion,1441,776,685,0.7083228373636011,0.7083228373636011
156,_sav_annah,family,2284,995,385,0.5660157356100718,0.5660157356100718
157,cassbelll,family,3858,902,600,0.7148307458304459,0.7148307458304459
158,ameliaxmichels,fashion,3117,998,317,0.5495604369793528,0.5495604369793528
159,barbarafantini,travel,1508,547,611,0.4957780662886367,0.4957780662886367
160,dlfactory,fashion,1189,2414,1059,0.6782491906249601,0.6782491906249601
161,andrewphilly,travel,1262,394,448,0.4411522555100869,0.4411522555100869
162,edoexercise,travel,1161,531,433,0.40282955127488423,0.40282955127488423
163,ardenbee,fashion,1843,797,695,0.5901808883492464,0.5901808883492464
164,dianaluchin,travel,2057,1297,343,0.7220880995687677,0.7220880995687677
165,charlottesofieg,fashion,2277,499,491,0.5768706286253483,0.5768706286253483
166,carlycoberly,travel,1380,1052,394,0.6459944528540258,0.6459944528540258
167,alerossifoto,travel,2354,939,790,0.48598480105986175,0.48598480105986175
168,cstropko,travel,1445,1662,734,0.5518629007782357,0.5518629007782357
169,adventu.russ,travel,1116,1374,1287,0.4552915572748865,0.4552915572748865
170,anastasia_greer,fashion,3709,756,739,0.5514965519760664,0.5514965519760664
171,alexas.mind,fashion,3354,1415,673,0.6892613183236921,0.6892613183236921
172,firstmodelsandtalent,fashion,1135,323,289,0.7454584438405042,0.7454584438405042
173,as_tii,fashion,2317,350,292,0.7681273789127256,0.7681273789127256
174,abbyevans,family,1888,639,513,0.5014041106420835,0.5014041106420835
175,daynetx3,fashion,2510,496,644,0.6370253088922954,0.6370253088922954
176,annajoyyee,family,1383,824,817,0.6778355806569114,0.6778355806569114
177,ellenbuui,fashion,1597,821,390,0.7079955674737934,0.7079955674737934
178,erinkayyeung,fashion,1473,994,383,0.6194554699579005,0.6194554699579005
179,cydneyamposta,travel,1226,1000,585,0.6373829245280821,0.6373829245280821
180,anayiamali,fashion,1030,822,527,0.6242684668664928,0.6242684668664928
181,elisabethresch,fashion,1119,279,343,0.7234740512694288,0.7234740512694288
182,anaspreng,family,1031,732,837,0.6294587751322119,0.6294587751322119
183,derek_j,travel,2820,530,1413,0.70337790767468,0.70337790767468
184,bekah_ruckart,family,1443,1645,618,0.5646250891835553,0.5646250891835553
185,cigarstory,pet,1733,680,656,0.6502450891198267,0.6502450891198267
186,coreylabarrie,family,142999,194,339,0.4111449489771727,0.4111449489771727
187,charlieontravel,travel,1318,1359,604,0.6123931604620518,0.6123931604620518
188,achillesphotography,fashion,1545,712,353,0.7399349608471041,0.7399349608471041
189,conormullervy,travel,1513,486,1571,0.47711164970750747,0.47711164970750747
190,cassidyrudisell,fashion,1401,879,435,0.5576518832953379,0.5576518832953379
191,addyson_bell,family,6407,302,373,0.6606423178690348,0.6606423178690348
192,art_by_farisroslan,other,1197,595,305,0.5827341343540935,0.5827341343540935
193,coffeewithrosa,fashion,1594,988,383,0.6823037806276274,0.6823037806276274
194,amielatisha,fashion,3528,898,311,0.5806056842985493,0.5806056842985493
195,attruongg,fashion,1245,1344,643,0.6039865688533116,0.6039865688533116
196,_shampooj,family,1763,1081,714,0.4873516075107784,0.4873516075107784
197,bulakke,travel,1609,887,470,0.5101426177540106,0.5101426177540106
198,_ixenia,travel,13428,203,268,0.5653601508929571,0.5653601508929571
199,carmimoore,fashion,1272,800,721,0.6779929508922427,0.6779929508922427
200,brittany.rt,travel,1499,688,480,0.6818635878074741,0.6818635878074741
201,caseyyjohanson,fashion,1628,1539,333,0.7083476748828614,0.7083476748828614
202,ellatumbless,fashion,2260,2545,426,0.6386381802443839,0.6386381802443839
203,ami_oneill,travel,10824,468,395,0.6500011931414773,0.6500011931414773
204,alvahemer,fashion,4219,360,295,0.5762742147330363,0.5762742147330363
205,christian_tay,fashion,5803,899,346,0.54813385870703,0.54813385870703
206,chloeastley,family,3197,1357,346,0.8185211517648768,0.8185211517648768
207,diningdigestchi,food,1362,693,778,0.6216811748124383,0.6216811748124383
208,alexamunger,fashion,4611,587,1186,0.6258446113624262,0.6258446113624262
209,brunetteboheme,fashion,4385,303,333,0.6399472354214092,0.6399472354214092
210,ellennrosee,fashion,3803,791,619,0.6931993323973066,0.6931993323973066
211,_ernette_x,fashion,1870,706,290,0.6883388806506673,0.6883388806506673
212,emeliehorst,fashion,3450,801,641,0.45714020565327057,0.45714020565327057
